,ListNo,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
77,1320773,0.14,117.0,0,3,,40.77921,-111.866018,449900,0,7,Single Family,430000,3074,5.0,3.0,2972,1908,1
78,1319923,0.01,87.0,1,0,289.0,40.77548,-111.87404,215000,0,0,Condo,205300,1635,2.0,2.0,1100,1968,0
79,1320348,0.01,57.0,0,2,296.0,40.773058,-111.88447,360000,0,2,Condo,350000,2688,2.0,3.0,1884,1985,0
80,1319548,0.16,25.0,0,2,,40.781231,-111.888254,424000,0,0,Single Family,415000,3081,6.0,3.0,2887,1927,1
81,1319606,0.48,7.0,3,2,,40.788405,-111.888222,736000,1,4,Single Family,736000,5871,5.0,3.0,4756,1959,1
83,1318906,0.09,25.0,1,0,,40.77146,-111.861703,455000,0,0,Single Family,445000,2608,3.0,2.0,2764,1896,1
84,1318980,0.16,109.0,0,1,,40.770412,-111.861977,295000,0,3,Single Family,295000,2156,3.0,1.0,1385,1912,1
86,1318569,0.05,29.0,0,0,,40.775572,-111.86405800000001,319900,1,0,Single Family,300000,1950,3.0,1.0,1622,1901,1
88,1318092,0.01,114.0,0,1,402.0,40.76962,-111.85393300000001,389000,1,0,Condo,375000,3350,3.0,2.0,1930,1929,0
89,1318630,0.0,239.0,0,0,448.0,40.772276,-111.886521,249900,0,1,Condo,249900,1775,2.0,2.0,990,1976,0
94,1315980,0.14,85.0,1,2,,40.773498,-111.85843500000001,529900,1,0,Single Family,500000,2733,4.0,3.0,3072,1897,1
95,1316888,0.01,122.0,2,1,361.0,40.774741999999996,-111.893074,232000,0,0,Condo,210000,1809,2.0,2.0,1225,1976,0
96,1315678,0.14,182.0,1,1,,40.781614000000005,-111.876296,478888,0,0,Single Family,460000,3050,6.0,4.0,3895,1936,1
97,1315260,0.07,7.0,0,1,,40.772588,-111.854702,313900,0,0,Single Family,313900,1626,3.0,2.0,1891,1906,1
98,1314514,0.08,40.0,0,2,,40.782405,-111.899456,350000,0,0,Single Family,334000,1409,2.0,2.0,1754,1917,1
99,1314008,0.03,28.0,0,2,285.0,40.779839,-111.878819,440000,1,0,Townhouse,440000,3087,3.0,3.0,2455,1998,0
100,1314029,0.09,26.0,0,0,,40.770828,-111.87193700000002,268800,1,0,Single Family,255000,1137,3.0,1.0,1290,1906,1
102,1314354,0.01,116.0,1,2,528.0,40.772276,-111.886521,289000,0,0,Condo,282500,1953,2.0,2.0,1167,1976,0
103,1313618,0.01,88.0,1,2,394.0,40.774001,-111.892032,269000,0,0,Condo,250000,2173,1.0,2.0,1200,1976,0
106,1312185,0.59,101.0,2,3,,40.781987,-111.860854,850000,0,0,Single Family,790000,7481,4.0,4.0,4378,1995,1
107,1311594,0.29,32.0,1,3,,40.790665999999995,-111.885893,649900,2,3,Single Family,645000,4980,5.0,4.0,5334,1980,1
108,1311639,0.13,46.0,1,0,,40.78476,-111.896381,315000,0,3,Single Family,315000,2046,3.0,2.0,1891,1900,1
109,1311163,0.18,60.0,1,1,,40.781096000000005,-111.881026,599999,1,4,Single Family,590000,2467,3.0,3.0,2448,1909,1
110,1310280,0.1,77.0,2,0,,40.776877,-111.897279,399900,0,2,Single Family,395000,1302,5.0,2.0,2590,1909,1
112,1309745,0.37,52.0,1,2,,40.791059000000004,-111.884505,519000,0,3,Single Family,526000,4481,5.0,3.0,3300,1965,1
113,1316382,0.34,148.0,1,3,,40.782663,-111.86082900000001,814900,1,0,Single Family,795000,7252,6.0,5.0,5498,1994,1
114,1308661,0.29,77.0,0,0,,40.783184999999996,-111.896999,449000,0,0,Single Family,435000,2449,5.0,2.0,3317,1878,1
117,1307809,0.15,91.0,1,2,,40.777642,-111.866142,665900,0,2,Single Family,650000,2373,6.0,4.0,3175,1936,1
118,1308047,0.08,107.0,1,1,,40.776215,-111.87278300000001,399000,1,0,Single Family,385000,2349,4.0,3.0,2700,1908,1
119,1307495,0.36,68.0,2,3,,40.785514,-111.866773,850000,3,3,Single Family,825000,5917,2.0,4.0,4186,1955,1
122,1306326,0.45,236.0,1,3,,40.787673999999996,-111.885861,995000,1,6,Single Family,865000,8025,5.0,7.0,7508,1995,1
126,1303920,0.15,133.0,0,1,,40.783021999999995,-111.87548999999999,405000,0,3,Single Family,403000,3091,3.0,3.0,2830,1937,1
127,1303363,0.01,78.0,0,1,448.0,40.772276,-111.886521,229000,0,0,Condo,227000,1776,2.0,2.0,1006,1976,0
128,1303130,0.08,86.0,1,1,,40.772597999999995,-111.867751,408500,1,2,Single Family,394000,2410,4.0,3.0,2010,1902,1
130,1300519,0.4,287.0,1,2,,40.781328,-111.85384199999999,779000,2,0,Single Family,750000,5771,5.0,4.0,4530,1979,1
131,1300620,0.0,70.0,0,1,330.0,40.770555,-111.87256200000002,269000,0,0,Condo,255000,1465,2.0,1.0,1107,1912,0
134,1293274,0.01,332.0,0,1,348.0,40.774001,-111.892032,249000,0,0,Condo,242500,1980,1.0,2.0,1200,1976,0
135,1289265,0.0,171.0,1,1,331.0,40.773058,-111.88447,350000,0,0,Condo,310000,2904,2.0,3.0,2080,1985,0
136,1288046,0.39,106.0,2,2,,40.785859,-111.870205,849000,1,0,Single Family,794000,5560,6.0,4.0,4840,1963,1
137,1286790,0.01,481.0,1,2,,40.785569,-111.899699,379000,1,1,Townhouse,360000,2214,2.0,4.0,2540,2009,0
138,1285942,0.12,185.0,1,1,,40.771219,-111.856599,533800,0,0,Single Family,529000,3928,3.0,3.0,3017,1898,1
142,1280794,0.15,203.0,1,2,,40.779253000000004,-111.89338500000001,549000,0,4,Townhouse,535000,3870,5.0,4.0,3494,1998,0
143,1277128,0.28,216.0,1,3,,40.782933,-111.851143,995000,0,6,Single Family,949000,6658,6.0,4.0,5740,1978,1
144,1265274,0.01,198.0,0,2,242.0,40.770903999999994,-111.886201,349999,2,2,Condo,340000,1877,2.0,2.0,1473,1979,0
145,1241781,0.0,447.0,0,0,463.0,40.773843,-111.89191100000001,249900,0,0,Condo,231000,2812,2.0,2.0,1385,1976,0
146,1238399,0.07,375.0,0,1,,40.772835,-111.854867,330000,0,0,Single Family,310000,2079,5.0,3.0,2094,1886,1
147,1222911,0.01,485.0,1,2,305.0,40.77198,-111.88526200000001,385000,1,0,Condo,370000,3644,2.0,2.0,2028,1981,0
